,name,time,perc
3110,Gleziah,467.4710500000001,0.00592748982602073
3111,Patavian,467.4437,0.0059271430305416475
3112,WilliamClayworth,467.4224666666666,0.0059268737938321095
3113,Thomaspecdoe,467.36751666666663,0.00592617703289699
3114,osihalazoni,466.8891333333333,0.005920111176324115
3115,Gurgler83,466.6829166666667,0.00591749636799829
3116,GrannyJake,466.65330000000006,0.005917120831394799
3117,Coraku,466.3675166666666,0.005913497125069497
3118,Baguetienne,466.0728333333333,0.005909760567564534
3119,Donster05,465.9082833333333,0.0059076740887315194
3120,Weeezz,465.5162666666667,0.005902703353531346
3121,trailstrails,465.21911666666665,0.005898935518920407
3122,GoldWoko,464.74988333333334,0.005892985683504153
3123,temieu,464.6629,0.005891882742854958
3124,Gish2508,464.0628666666667,0.0058842743754948705
3125,elusznik,463.1813666666667,0.005873097036744936
3126,minecraftpop1,462.9980333333333,0.005870772386976562
3127,Oliver5078,462.9801166666667,0.005870545205294653
3128,Th3rm4,462.20500000000004,0.005860716797405768
3129,Zarcastiq,461.1945666666667,0.005847904595873275
3130,Noahsejklo,461.13134999999994,0.0058471030143667805
3131,Smithy_07,461.0272,0.005845782401966548
3132,ADiabeticInNeed,460.86533333333335,0.005843729947552872
3133,Arvys,460.78414999999984,0.005842700550369074
3134,roblart,460.51876666666664,0.005839335514163456
3135,Eternal_Raider,460.5184666666667,0.005839331710191109
3136,bighenry468,460.3106333333333,0.005836696402680961
3137,Mxxrcell,460.1459166666667,0.005834607810529977
3138,SoundWave1212,459.51456666666667,0.00582660235072309
3139,Metalist1,459.274,0.005823551987563389
3140,Aevianne,459.00585,0.0058201518702794474
3141,LapPallAp,458.9916,0.005819971181592906
3142,PRTh0mas,458.7523499999999,0.005816937513645177
3143,HayerOsom,458.4052333333332,0.005812536106306457
3144,chefwtf,458.02466666666663,0.005807710556050909
3145,Diasphere_Joe,457.98465000000004,0.0058072031484060135
3146,Sefinster,457.87553333333335,0.005805819559130237
3147,Xaeqos,457.81315,0.005805028544213598
3148,Btm211,457.75750000000005,0.005804322907342999
