Killer,Num,Perc,want
,154.0,0.2774224928392571,stilwall
,152.0,0.27381960332186417,Relbu
,151.0,0.2720181585631677,imabum
,147.0,0.26481237952838177,FeSis
,147.0,0.26481237952838177,nikolas4603
,144.0,0.25940804525229233,Big__Grin
,144.0,0.25940804525229233,h1a
,143.0,0.25760660049359585,Mark_Dog
,141.0,0.2540037109762029,Tisu
,140.0,0.25220226621750647,enox101
,139.0,0.25040082145881,RandomUser8192
,133.0,0.23959215290663113,MrLeevee
,130.0,0.23418781863054167,PussyDestroyer
,125.0,0.22518059483705935,julien78790
,124.0,0.22337915007836281,ZeProf2Minato
,123.0,0.22157770531966636,SyndicateNA
,120.0,0.21617337104357695,BigWillyBilly666
,115.0,0.20716614725009458,DawsonBeard
,111.0,0.19996036821530866,SpaceAgeFlamingo
,109.0,0.19635747869791573,aGermanBoi
,108.0,0.19455603393921925,jqq
,108.0,0.19455603393921925,XRG_Gaming
,107.0,0.1927545891805228,Alaskatim
,107.0,0.1927545891805228,BarenDome
,106.0,0.1909531444218263,TwelveZip
,106.0,0.1909531444218263,pu94
,105.0,0.18915169966312984,DimeZero
,105.0,0.18915169966312984,xXfrozen_milkXx
,103.0,0.18554881014573688,KingCarnelian
,100.0,0.18014447586964744,Dennik2000
,97.0,0.17474014159355802,pr0lapse
,97.0,0.17474014159355802,banana_jeff
,97.0,0.17474014159355802,laundmo
,97.0,0.17474014159355802,GH0STM4NE
,96.0,0.17293869683486154,ido_v
,94.0,0.1693358073174686,PlofKip
,93.0,0.16753436255877213,ExtraIcy
,93.0,0.16753436255877213,wasdwasdwasd
,93.0,0.16753436255877213,BrixalisPT
,93.0,0.16753436255877213,iEmirYILDIRIM
,92.0,0.16573291780007565,Oszku
,91.0,0.1639314730413792,Arlayna
,91.0,0.1639314730413792,dangel441
,91.0,0.1639314730413792,DaKIng45
,90.0,0.1621300282826827,YoKdsGetOfMaLwn
,90.0,0.1621300282826827,SaldoniaMyAss
,89.0,0.16032858352398624,JotaroIsMyDaddy
,88.0,0.15852713876528976,DiscordPings
,87.0,0.15672569400659328,MintTM
,85.0,0.15312280448920035,Ordinary_Avocado
,84.0,0.15132135973050387,ELIGAVARGEN
,84.0,0.15132135973050387,FlytoNorway
,83.0,0.1495199149718074,pyro_neer
,82.0,0.1477184702131109,lebruhmomento
,79.0,0.1423141359370215,He4rtle55
,77.0,0.13871124641962854,Leriella_
,76.0,0.13690980166093208,Gopro336
,76.0,0.13690980166093208,SovietUni0n
,75.0,0.1351083569022356,Tomad
,74.0,0.13330691214353912,AwesomeJosh2695
,74.0,0.13330691214353912,OneSadRatard
,74.0,0.13330691214353912,Fluffydog51
,73.0,0.13150546738484264,soppa12345
,73.0,0.13150546738484264,Kriptoll
,71.0,0.12790257786744968,csisDustin
,71.0,0.12790257786744968,0992
,70.0,0.12610113310875323,OJcoolaid
,70.0,0.12610113310875323,Rolandark
