,Killer,Num,Perc
92,DimeZero,31.0,0.055844787519590704
93,leovo909,30.0,0.05404334276089424
94,AV0CAT,30.0,0.05404334276089424
95,BarenDome,29.0,0.05224189800219776
96,Finnthehumanlol,29.0,0.05224189800219776
97,Sandy_08,29.0,0.05224189800219776
98,Malworthy,29.0,0.05224189800219776
99,ItsGoingGood,29.0,0.05224189800219776
100,P3TR0,28.0,0.05044045324350129
101,SuhhhDuuude,28.0,0.05044045324350129
102,MacsModz,27.0,0.04863900848480481
103,BlockBuster2k170,26.0,0.04683756372610834
104,DaKIng45,26.0,0.04683756372610834
105,ConciseBlock,26.0,0.04683756372610834
106,XRG_Gaming,25.0,0.04503611896741186
107,Taqhesiquan,25.0,0.04503611896741186
108,SyndicateNA,24.0,0.043234674208715386
109,pyro_neer,24.0,0.043234674208715386
110,RoomyGruffalo,24.0,0.043234674208715386
111,dangel441,24.0,0.043234674208715386
112,soppa12345,24.0,0.043234674208715386
113,jqq,24.0,0.043234674208715386
114,Dacaly,23.0,0.04143322945001891
115,DiscordPings,23.0,0.04143322945001891
116,ElodinA,22.0,0.03963178469132244
117,Kriptoll,22.0,0.03963178469132244
118,PandaBearUwU,22.0,0.03963178469132244
119,pl3,22.0,0.03963178469132244
120,Mark_Dog,22.0,0.03963178469132244
121,Big__Grin,22.0,0.03963178469132244
122,Leriella_,22.0,0.03963178469132244
123,DeceiverSquad,22.0,0.03963178469132244
124,mmuuli,21.0,0.03783033993262597
125,DefaulTMC,21.0,0.03783033993262597
126,deathcopter,21.0,0.03783033993262597
127,Tjga,21.0,0.03783033993262597
128,Tertann,20.0,0.036028895173929494
129,REDSTONEboots,20.0,0.036028895173929494
130,IHackedXVIDEOs,20.0,0.036028895173929494
131,ARZI1,20.0,0.036028895173929494
132,dinosaurwizard,20.0,0.036028895173929494
133,gamer58147,20.0,0.036028895173929494
134,YaBoiH3LIXV2,20.0,0.036028895173929494
135,PFCalixa,20.0,0.036028895173929494
136,Viktisen,19.0,0.03422745041523302
137,unbound__,19.0,0.03422745041523302
138,LvSyncLv,18.0,0.03242600565653654
139,FlytoNorway,18.0,0.03242600565653654
140,RandomUser8192,18.0,0.03242600565653654
141,Animewaffle,18.0,0.03242600565653654
142,ChillyDogs,18.0,0.03242600565653654
143,ZxFireBoxZx,18.0,0.03242600565653654
144,Colbenstein,18.0,0.03242600565653654
145,2603semko,18.0,0.03242600565653654
146,The4b4tPolice,17.0,0.030624560897840065
147,starowesky,17.0,0.030624560897840065
148,Nullcore_Money,17.0,0.030624560897840065
149,csisDustin,16.0,0.028823116139143592
150,Finvi,16.0,0.028823116139143592
151,Caynckle,16.0,0.028823116139143592
152,akaron,16.0,0.028823116139143592
153,pigarms,16.0,0.028823116139143592
154,CaptainJam,15.0,0.02702167138044712
155,Bubba146,15.0,0.02702167138044712
156,rasch4,15.0,0.02702167138044712
157,zTiewDusNews,15.0,0.02702167138044712
158,banana_jeff,15.0,0.02702167138044712
159,kaimir,15.0,0.02702167138044712
160,Ninnbot,14.0,0.025220226621750646
161,Xqzc,14.0,0.025220226621750646
162,FallsGreen,14.0,0.025220226621750646
163,SpaceAgeFlamingo,14.0,0.025220226621750646
164,ladytorrens,14.0,0.025220226621750646
165,MrMagoo109,14.0,0.025220226621750646
166,EliteCrystal,14.0,0.025220226621750646
167,ItsConnorGL,14.0,0.025220226621750646
168,ItsPigeons,13.0,0.02341878186305417
169,J9A,13.0,0.02341878186305417
170,Cheesylol69,13.0,0.02341878186305417
171,MasterFuega,13.0,0.02341878186305417
172,Kim_Jong_Nig,13.0,0.02341878186305417
173,r333mo,12.0,0.021617337104357693
174,SoulHeartRealm,12.0,0.021617337104357693
175,ieatpaintttt,12.0,0.021617337104357693
176,fakelags,12.0,0.021617337104357693
177,Cakeilsi3,12.0,0.021617337104357693
178,Radik202,12.0,0.021617337104357693
179,EyepAddress,12.0,0.021617337104357693
180,top_kek,12.0,0.021617337104357693
181,DoubleSpexon,12.0,0.021617337104357693
182,redneckSNIPER60,12.0,0.021617337104357693
183,FIonder,11.0,0.01981589234566122
184,PapaKappa,11.0,0.01981589234566122
185,jpie726,11.0,0.01981589234566122
186,AstolfoBae,11.0,0.01981589234566122
187,CowardlyElf,11.0,0.01981589234566122
188,Shulker_Box_Give,11.0,0.01981589234566122
189,CaspergamezYT,11.0,0.01981589234566122
190,KINGLYz,10.0,0.018014447586964747
191,moosheking,10.0,0.018014447586964747
192,CutieCookieMC,10.0,0.018014447586964747
193,PikaGirl05,10.0,0.018014447586964747
194,NESmp3,10.0,0.018014447586964747
195,DBlockEurope,10.0,0.018014447586964747
196,Peanut_Kearns,10.0,0.018014447586964747
197,SaldoniaMyAss,10.0,0.018014447586964747
198,_Physalis_,10.0,0.018014447586964747
199,JakethasnakesALT,10.0,0.018014447586964747
200,NBNT,10.0,0.018014447586964747
201,4Cent_Garbage,10.0,0.018014447586964747
202,P1nkE_,9.0,0.01621300282826827
203,PearsWithGluten,9.0,0.01621300282826827
204,whasp,9.0,0.01621300282826827
205,Hanspeter007x,9.0,0.01621300282826827
206,h_For_hi,9.0,0.01621300282826827
207,ghi5,9.0,0.01621300282826827
208,CyberMemes,9.0,0.01621300282826827
209,Goujon_,9.0,0.01621300282826827
210,kinglyzalt3,9.0,0.01621300282826827
211,Amin0Acid,9.0,0.01621300282826827
212,Mcowo,9.0,0.01621300282826827
213,EPIC_GAMES,9.0,0.01621300282826827
214,MrMenopause,8.0,0.014411558069571796
215,Workroom,8.0,0.014411558069571796
216,Nicketic,8.0,0.014411558069571796
217,Crimson5266,8.0,0.014411558069571796
218,veggydip,8.0,0.014411558069571796
219,Jvlivs_Kaesar,8.0,0.014411558069571796
220,33333333333335,8.0,0.014411558069571796
221,FryRocko,8.0,0.014411558069571796
222,mizuki0411,8.0,0.014411558069571796
223,Deze_Sem,8.0,0.014411558069571796
224,Jakethasnake52,8.0,0.014411558069571796
225,Gordon_Ramsaay,7.0,0.012610113310875323
226,nathanreed,7.0,0.012610113310875323
227,SeppEisi,7.0,0.012610113310875323
228,iron_ripper4,7.0,0.012610113310875323
229,SixGorillion,7.0,0.012610113310875323
230,Lev_Myskin,7.0,0.012610113310875323
231,That_Eboy,7.0,0.012610113310875323
232,coyoteman34,7.0,0.012610113310875323
233,LukeBuck,7.0,0.012610113310875323
234,vYqURTroC7,7.0,0.012610113310875323
235,FreakyThought,7.0,0.012610113310875323
236,josemari676,7.0,0.012610113310875323
237,zanasLTU,7.0,0.012610113310875323
238,skythekidrs59,7.0,0.012610113310875323
239,Alusim,7.0,0.012610113310875323
240,SaladAirplane71,7.0,0.012610113310875323
241,Guag,7.0,0.012610113310875323
242,_Majora_,7.0,0.012610113310875323
243,MineHacksCo,7.0,0.012610113310875323
244,Gamerkav,7.0,0.012610113310875323
245,Harpsichord37,7.0,0.012610113310875323
246,Zoiin,7.0,0.012610113310875323
247,Dipsmack,7.0,0.012610113310875323
248,Boykinisboss,7.0,0.012610113310875323
249,Jamiec1130,6.0,0.010808668552178846
250,LeDrago27,6.0,0.010808668552178846
251,CaptainRedRanger,6.0,0.010808668552178846
252,Antidissmist,6.0,0.010808668552178846
253,PhantomGuy,6.0,0.010808668552178846
254,NFo,6.0,0.010808668552178846
255,kymlaarmc,6.0,0.010808668552178846
256,Wxbbs,6.0,0.010808668552178846
257,WarPhoenix2468,6.0,0.010808668552178846
258,Ducko_Man,6.0,0.010808668552178846
259,C471,6.0,0.010808668552178846
260,Wexin,6.0,0.010808668552178846
261,calebbek04,6.0,0.010808668552178846
262,JolyneKujoo,6.0,0.010808668552178846
263,upkaz,6.0,0.010808668552178846
264,Dennik2000,6.0,0.010808668552178846
265,Jalapeno690,6.0,0.010808668552178846
266,The_chose_n_one,6.0,0.010808668552178846
267,Just_Pepsi,6.0,0.010808668552178846
268,IroYoshi,6.0,0.010808668552178846
269,MrToffeePancake,6.0,0.010808668552178846
270,Freddie_,6.0,0.010808668552178846
271,CaptainJack3034,6.0,0.010808668552178846
272,JenoTech,6.0,0.010808668552178846
273,JarOfMana,6.0,0.010808668552178846
274,zzlolzzxD,6.0,0.010808668552178846
275,PandahPandah,6.0,0.010808668552178846
276,snoh666,6.0,0.010808668552178846
277,Clownman,5.0,0.009007223793482374
278,MoaFiuccia,5.0,0.009007223793482374
279,Kath4rSis,5.0,0.009007223793482374
280,AstonStinkMonkey,5.0,0.009007223793482374
281,dragonskull8,5.0,0.009007223793482374
282,Gidgy,5.0,0.009007223793482374
283,Der_Gian,5.0,0.009007223793482374
284,gaums,5.0,0.009007223793482374
285,idqn,5.0,0.009007223793482374
286,KingGlac,5.0,0.009007223793482374
287,x8h,5.0,0.009007223793482374
288,Deilek,5.0,0.009007223793482374
289,Lerks,5.0,0.009007223793482374
290,zX_Murky_Xz,5.0,0.009007223793482374
291,buildinthehills,5.0,0.009007223793482374
292,pandazle,5.0,0.009007223793482374
293,Duck284,5.0,0.009007223793482374
294,Hawshieto_,5.0,0.009007223793482374
295,puupoju8,5.0,0.009007223793482374
296,PheonixSC,5.0,0.009007223793482374
297,Sythodom,5.0,0.009007223793482374
298,Axolove,5.0,0.009007223793482374
