,name,afk_time,perc
3829,Daviku75,571897.0,0.001199829727403629
3830,GoneGiggin,571737.0,0.0011994940502513016
3831,soulja_cito,571180.0,0.0011983254741647618
3832,Deadly_Unicorn_,570498.0,0.0011968946503029662
3833,lassseeeee,570348.0,0.0011965799529726595
3834,snoh666,570337.0,0.0011965568751684367
3835,CAM0110,570131.0,0.0011961246908348154
3836,ijadenfellow,569571.0,0.0011949498208016695
3837,Daenges,569503.0,0.0011948071580119304
3838,Jack252525,569284.0,0.0011943476999096822
3839,Magicdweedoo,569214.0,0.001194200841155539
3840,_M_A_R_C_O_,569133.0,0.0011940309045971732
3841,urschy_boi,568322.0,0.0011923294410313137
3842,Dommond_Games,567807.0,0.00119124898019726
3843,FilbertIsBKDT,567000.0,0.0011895559085602085
3844,Hvmmond,566926.0,0.0011894006578772572
3845,BestVoke,566884.0,0.0011893125426247712
3846,Prugovc,566835.0,0.001189209741496871
3847,CuteBoyDAX,566507.0,0.0011885216033345998
3848,Hunsinger,566481.0,0.0011884670557973467
3849,WichtigerGamer,566343.0,0.0011881775342534643
3850,Lioumani,566038.0,0.0011875376496818402
3851,DANCERUSH,565822.0,0.0011870844855261982
3852,nesay,565743.0,0.0011869187449322365
3853,zMaarco,565240.0,0.0011858634598846073
3854,NightTimeOwl77,564775.0,0.0011848878981606558
3855,NuklearCookie,564729.0,0.0011847913909793617
3856,GansoDaOraa,564585.0,0.001184489281542267
3857,Boat___,563938.0,0.0011831318870575431
3858,vrazqq,563891.0,0.001183033281894047
3859,AsapCH,563744.0,0.0011827248785103463
3860,Bomblak,563437.0,0.001182080797974318
3861,C471,562714.0,0.0011805639568422386
3862,ChopStickCaden,562590.0,0.0011803038070491848
3863,Oderek,561149.0,0.0011772806146960362
3864,CR266,560174.0,0.0011752350820490411
3865,DDDD69420,560167.0,0.0011752203961736267
3866,icakes,560051.0,0.0011749770302381893
3867,CertifiedGore,559986.0,0.0011748406613950563
3868,Zalakoth,559930.0,0.0011747231743917418
3869,Myrmecia_Pete,559674.0,0.001174186090948018
3870,4ep,559619.0,0.0011740707019269054
3871,amp14,558988.0,0.0011727468751574143
3872,johnny232,558971.0,0.0011727112094599794
3873,TheBigCheese886,558693.0,0.0011721279704078106
3874,_Adventure_,558662.0,0.0011720629329595473
3875,balisto,558513.0,0.0011717503336114423
3876,BrickFixer2,558458.0,0.0011716349445903297
3877,soaperb,558349.0,0.0011714062645303068
3878,unitedgolem,558283.0,0.0011712677977049717
3879,Josh555,557739.0,0.0011701264953870587
3880,sexhaver4200,557661.0,0.0011699628527752988
3881,lNTAL,557474.0,0.0011695705301035164
3882,Microzello,557271.0,0.001169144639716501
3883,dylan072007,557026.0,0.0011686306340769996
3884,FinnishOne,556832.0,0.0011682236255298026
3885,yourpantz,556517.0,0.001167562761136158
3886,Seba542,556501.0,0.0011675291934209254
3887,filipriec,556321.0,0.001167151556624557
3888,Pract1cal101,555990.0,0.0011664571245156798
3889,Xx_York_xX,555530.0,0.0011654920527027384
3890,Silverhunden,555318.0,0.0011650472804759047
3891,hasapetcat,555250.0,0.0011649046176861655
3892,Jbro80,555179.0,0.0011647556609498202
3893,TheJayRod,555175.0,0.001164747269021012
3894,Axi301,555152.0,0.001164699015430365
3895,jwr98,555117.0,0.0011646255860532934
3896,KingCraft125,554978.0,0.001164333966527209
3897,ORicey,554583.0,0.0011635052635574007
3898,recursive_tree,554135.0,0.001162565367530884
3899,RoxStudios,554068.0,0.0011624248027233468
3900,DaanRV,553903.0,0.0011620786356600092
3901,Litr,553184.0,0.001160570186456738
3902,BBaluka,553104.0,0.0011604023478805744
3903,RoachClip,553028.0,0.0011602429012332188
3904,snoozedzn,552191.0,0.0011584868901301061
3905,ItsaMeMrAvacado,552017.0,0.00115812184122695
3906,Potatoe117,551983.0,0.0011580505098320805
3907,loggboy,551966.0,0.0011580148441346456
3908,Okooks,551823.0,0.001157714832679753
3909,kinglyzalt2,551691.0,0.001157437899029083
3910,NonFinity,551425.0,0.0011568798357633387
3911,PCGaMERsam,551324.0,0.001156667939560932
3912,NovaPixels,550910.0,0.001155799374929285
3913,CamlePvP,550580.0,0.0011551070408026096
3914,breakdance1000,550498.0,0.0011549350062620418
3915,nebs_memes,550439.0,0.0011548112253121211
3916,Adjected,549922.0,0.0011537265685136633
3917,brapstu,549711.0,0.0011532838942690314
