,name,mob_kills,perc
67,joelethinc,2080.0,0.16023431186681447
68,Tisu,2069.0,0.15938691887136497
69,indieaustin,2019.0,0.1555351325284127
70,SanderJohan,2018.0,0.15545809680155365
71,Reint,2015.0,0.15522698962097653
72,0rthrus,2008.0,0.1546877395329632
73,Kiosk,2001.0,0.15414848944494988
74,Holywood91,2000.0,0.15407145371809083
75,FilthyCasual268,1960.0,0.15099002464372901
76,lonelymoose,1953.0,0.1504507745557157
77,4mildk,1942.0,0.1496033815602662
78,DawsonBeard,1932.0,0.14883302429167575
79,muffininbucket,1923.0,0.14813970274994434
80,ROBO_DIAX_MASTER,1916.0,0.147600452661931
81,Kumacroc,1901.0,0.14644491675904536
82,Neroga,1872.0,0.14421088068013302
83,Jamie_Jim_Bob,1835.0,0.14136055878634834
84,Sheebainu,1835.0,0.14136055878634834
85,Jasper1229,1813.0,0.13966577279544934
86,RandomUser8192,1809.0,0.13935762988801317
87,Temantor,1808.0,0.13928059416115413
88,josemari676,1793.0,0.13812505825826846
89,Hunted,1773.0,0.13658434372108752
90,J3_T,1764.0,0.1358910221793561
91,DarthBroccoli,1759.0,0.1355058435450609
92,Zuki19,1751.0,0.13488955773018851
93,JNC34,1728.0,0.1331177360124305
94,Woodzy_,1727.0,0.13304070028557144
95,G4723,1690.0,0.13019037839178677
96,PopTartsHDK,1686.0,0.12988223548435057
97,Doriun,1673.0,0.12888077103518297
98,AccelFrost,1666.0,0.12834152094716966
99,buildinthehills,1664.0,0.12818744949345157
100,itsme2417,1652.0,0.12726302077114304
101,Skimym,1641.0,0.12641562777569354
102,Clownman,1636.0,0.12603044914139833
103,Bigred788,1635.0,0.12595341341453925
104,taep,1627.0,0.1253371275996669
105,BrickBinder,1620.0,0.12479787751165357
106,lsdoozle,1619.0,0.12472084178479453
107,whiteBOIIreppin,1615.0,0.12441269887735835
108,pop162,1614.0,0.12433566315049929
109,Ginh,1599.0,0.12318012724761362
110,LogNetwork,1595.0,0.12287198434017745
111,Lachflesch,1595.0,0.12287198434017745
112,quadge,1586.0,0.12217866279844602
113,Krashgamer,1575.0,0.12133126980299655
114,KingGoldie,1572.0,0.1211001626224194
115,AragornTheMaster,1566.0,0.12063794826126513
116,QuickOpinion,1557.0,0.11994462671953371
117,NitroJS,1554.0,0.11971351953895659
118,Bober554,1554.0,0.11971351953895659
119,DarkSoulSK,1552.0,0.1195594480852385
120,Leovec_CZ,1551.0,0.11948241235837943
121,Nathanator1000,1545.0,0.11902019799722517
122,Edvoix,1540.0,0.11863501936292996
123,Nick_0,1509.0,0.11624691183029955
124,lilbutter,1508.0,0.11616987610344048
125,OurThrower4,1480.0,0.11401287575138722
126,BiGgweeb,1477.0,0.1137817685708101
127,e1de,1466.0,0.11293437557536058
128,feddss,1465.0,0.11285733984850155
129,Janosfaces,1463.0,0.11270326839478344
130,TwelveZip,1459.0,0.11239512548734726
131,Xx_Thicc_Boi_xX,1419.0,0.10931369641298545
132,h1a,1407.0,0.1083892676906769
133,AUGYLES,1402.0,0.10800408905638167
134,B3xT3n,1392.0,0.10723373178779122
135,sr_ACS,1391.0,0.10715669606093219
136,__Apk__,1389.0,0.10700262460721409
137,BLUETACKKING,1380.0,0.10630930306548267
138,TheElectroGuy,1378.0,0.10615523161176459
139,NykroCheese,1370.0,0.10553894579689223
140,The_Eggrolls,1368.0,0.10538487434317413
141,Malworthy,1328.0,0.10230344526881233
142,Khesous,1324.0,0.10199530236137615
143,ByTheWayIUseArch,1312.0,0.1010708736390676
144,Nalianic,1309.0,0.10083976645849045
145,lavablade02,1304.0,0.10045458782419522
146,xigel,1300.0,0.10014644491675903
147,CastleCrafterLP,1273.0,0.09806648029156483
